Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
BVR,2014,2014-04-06 12:00:00,7.295,6.3856,3.2612,10.48673
BVR,2014,2014-04-06 12:00:00,7.324,6.3848,3.2652,10.48812
BVR,2014,2014-04-06 12:00:00,7.348,6.384,3.2731,10.48271
BVR,2014,2014-04-06 12:00:00,7.373,6.3833,3.285,10.48528
BVR,2014,2014-04-06 12:00:00,7.396,6.3827,3.2691,10.4858
BVR,2014,2014-04-06 12:00:00,7.419,6.3821,3.5468,10.47346
BVR,2014,2014-04-06 12:00:00,7.447,6.3814,3.5429,10.46919
BVR,2014,2014-04-06 12:00:00,7.48,6.3808,3.527,10.47528
BVR,2014,2014-04-06 12:00:00,7.512,6.3802,3.5111,10.46962
BVR,2014,2014-04-06 12:00:00,7.539,6.3798,3.2096,10.45956
BVR,2014,2014-04-06 12:00:00,7.568,6.3793,3.2175,10.46209
BVR,2014,2014-04-06 12:00:00,7.599,6.3787,3.2295,10.45965
BVR,2014,2014-04-06 12:00:00,7.627,6.3779,3.1977,10.45885
BVR,2014,2014-04-06 12:00:00,7.649,6.3771,3.2929,10.45495
BVR,2014,2014-04-06 12:00:00,7.671,6.3762,3.2691,10.448
BVR,2014,2014-04-06 12:00:00,7.703,6.3753,3.2572,10.43443
BVR,2014,2014-04-06 12:00:00,7.738,6.3745,3.2929,10.44663
BVR,2014,2014-04-06 12:00:00,7.766,6.3738,3.1422,10.44277
BVR,2014,2014-04-06 12:00:00,7.794,6.3733,3.1382,10.44137
BVR,2014,2014-04-06 12:00:00,7.824,6.3729,3.158,10.44306
BVR,2014,2014-04-06 12:00:00,7.851,6.3725,3.1541,10.44389
BVR,2014,2014-04-06 12:00:00,7.873,6.3722,3.1342,10.45715
BVR,2014,2014-04-06 12:00:00,7.903,6.3719,3.5825,10.45271
BVR,2014,2014-04-06 12:00:00,7.941,6.3715,3.6024,10.46277
BVR,2014,2014-04-06 12:00:00,7.976,6.3712,3.5746,10.45973
BVR,2014,2014-04-06 12:00:00,8.005,6.3711,3.5746,10.46386
BVR,2014,2014-04-06 12:00:00,8.033,6.371,3.3247,10.46894
BVR,2014,2014-04-06 12:00:00,8.057,6.3709,3.3405,10.46676
BVR,2014,2014-04-06 12:00:00,8.075,6.3709,3.3485,10.46532
BVR,2014,2014-04-06 12:00:00,8.095,6.3708,3.3445,10.46761
BVR,2014,2014-04-06 12:00:00,8.119,6.3706,3.523,10.47266
BVR,2014,2014-04-06 12:00:00,8.149,6.3704,3.527,10.4734
BVR,2014,2014-04-06 12:00:00,8.179,6.37,3.5111,10.45832
BVR,2014,2014-04-06 12:00:00,8.206,6.3696,3.527,10.45902
BVR,2014,2014-04-06 12:00:00,8.231,6.3691,3.1303,10.46291
BVR,2014,2014-04-06 12:00:00,8.256,6.3684,3.1342,10.46102
BVR,2014,2014-04-06 12:00:00,8.282,6.3676,3.1461,10.46041
BVR,2014,2014-04-06 12:00:00,8.312,6.3666,3.1461,10.46245
BVR,2014,2014-04-06 12:00:00,8.35,6.3655,3.1342,10.45564
BVR,2014,2014-04-06 12:00:00,8.386,6.3644,3.0668,10.45114
BVR,2014,2014-04-06 12:00:00,8.414,6.3633,3.0906,10.44378
BVR,2014,2014-04-06 12:00:00,8.441,6.3623,3.0866,10.42961
BVR,2014,2014-04-06 12:00:00,8.467,6.3614,3.0906,10.42754
BVR,2014,2014-04-06 12:00:00,8.49,6.3606,3.1541,10.43279
BVR,2014,2014-04-06 12:00:00,8.511,6.3598,3.162,10.43207
BVR,2014,2014-04-06 12:00:00,8.539,6.3591,3.1501,10.4318
BVR,2014,2014-04-06 12:00:00,8.567,6.3584,3.158,10.43599
BVR,2014,2014-04-06 12:00:00,8.597,6.3578,3.2295,10.44018
BVR,2014,2014-04-06 12:00:00,8.63,6.3573,3.2136,10.44151
BVR,2014,2014-04-06 12:00:00,8.663,6.3569,3.2017,10.45016
BVR,2014,2014-04-06 12:00:00,8.692,6.3567,3.2136,10.44859
BVR,2014,2014-04-06 12:00:00,8.718,6.3565,3.3366,10.45068
BVR,2014,2014-04-06 12:00:00,8.739,6.3563,3.3366,10.44629
BVR,2014,2014-04-06 12:00:00,8.761,6.356,3.3405,10.45019
BVR,2014,2014-04-06 12:00:00,8.791,6.3556,3.3485,10.4467
BVR,2014,2014-04-06 12:00:00,8.83,6.3551,3.3405,10.4355
BVR,2014,2014-04-06 12:00:00,8.865,6.3545,3.0112,10.4469
BVR,2014,2014-04-06 12:00:00,8.896,6.3539,3.0231,10.4377
BVR,2014,2014-04-06 12:00:00,8.921,6.3535,3.0231,10.43517
BVR,2014,2014-04-06 12:00:00,8.941,6.3531,3.0112,10.43881
BVR,2014,2014-04-06 12:00:00,8.964,6.3527,3.2136,10.44284
BVR,2014,2014-04-06 12:00:00,8.992,6.3522,3.2215,10.42689
BVR,2014,2014-04-06 12:00:00,9.025,6.3515,3.2056,10.42233
BVR,2014,2014-04-06 12:00:00,9.057,6.3507,3.1858,10.41637
BVR,2014,2014-04-06 12:00:00,9.083,6.3498,3.0946,10.41552
BVR,2014,2014-04-06 12:00:00,9.109,6.3489,3.0906,10.41454
BVR,2014,2014-04-06 12:00:00,9.137,6.348,3.0708,10.41019
BVR,2014,2014-04-06 12:00:00,9.162,6.3472,3.0827,10.42119
BVR,2014,2014-04-06 12:00:00,9.183,6.3466,2.9041,10.4229
BVR,2014,2014-04-06 12:00:00,9.204,6.3459,2.8843,10.42191
BVR,2014,2014-04-06 12:00:00,9.233,6.3453,2.8962,10.41865
BVR,2014,2014-04-06 12:00:00,9.271,6.3446,2.9081,10.42417
BVR,2014,2014-04-06 12:00:00,9.306,6.3439,2.9002,10.42249
BVR,2014,2014-04-06 12:00:00,9.337,6.3434,2.7494,10.42103
BVR,2014,2014-04-06 12:00:00,9.366,6.3429,2.7811,10.42592
BVR,2014,2014-04-06 12:00:00,9.389,6.3425,2.7851,10.42456
BVR,2014,2014-04-06 12:00:00,9.411,6.342,2.7534,10.41709
BVR,2014,2014-04-06 12:00:00,9.437,6.3415,3.2929,10.42131
BVR,2014,2014-04-06 12:00:00,9.464,6.3407,3.281,10.41764
BVR,2014,2014-04-06 12:00:00,9.494,6.3398,3.2731,10.41746
BVR,2014,2014-04-06 12:00:00,9.524,6.3388,3.2572,10.41827
BVR,2014,2014-04-06 12:00:00,9.555,6.3377,3.2136,10.41383
BVR,2014,2014-04-06 12:00:00,9.583,6.3366,3.1977,10.42923
BVR,2014,2014-04-06 12:00:00,9.609,6.3356,3.2096,10.41793
BVR,2014,2014-04-06 12:00:00,9.632,6.3347,3.2295,10.42092
BVR,2014,2014-04-06 12:00:00,9.657,6.3337,3.1541,10.41275
BVR,2014,2014-04-06 12:00:00,9.686,6.3327,3.1501,10.42283
BVR,2014,2014-04-06 12:00:00,9.714,6.3317,3.1382,10.41702
BVR,2014,2014-04-06 12:00:00,9.744,6.3304,3.1739,10.40815
BVR,2014,2014-04-06 12:00:00,9.776,6.3288,3.162,10.40141
BVR,2014,2014-04-06 12:00:00,9.809,6.327,3.1501,10.39721
BVR,2014,2014-04-06 12:00:00,9.84,6.3251,3.1382,10.3987
BVR,2014,2014-04-06 12:00:00,9.871,6.3234,3.1501,10.37891
BVR,2014,2014-04-06 12:00:00,9.905,6.3218,3.1422,10.38441
BVR,2014,2014-04-06 12:00:00,9.938,6.3204,3.2731,10.37126
BVR,2014,2014-04-06 12:00:00,9.963,6.3191,3.285,10.3718
BVR,2014,2014-04-06 12:00:00,9.987,6.3179,3.2731,10.37448
BVR,2014,2014-04-06 12:00:00,10.02,6.3167,3.2652,10.3552
