Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,
SHR,2014,2014-06-26 12:00:00,4.835,17.0449,0.3214,12.73402,
SHR,2014,2014-06-26 12:00:00,4.851,16.9942,0.3174,12.70351,
SHR,2014,2014-06-26 12:00:00,4.873,16.9418,0.3333,12.66587,
SHR,2014,2014-06-26 12:00:00,4.901,16.8886,0.3452,12.6369,
SHR,2014,2014-06-26 12:00:00,4.928,16.8377,0.3412,12.61161,
SHR,2014,2014-06-26 12:00:00,4.948,16.7912,0.3333,12.5856,
SHR,2014,2014-06-26 12:00:00,4.964,16.749,0.3452,12.56024,
SHR,2014,2014-06-26 12:00:00,4.982,16.7088,0.3254,12.53371,
SHR,2014,2014-06-26 12:00:00,5.002,16.6676,0.3452,12.5081,
SHR,2014,2014-06-26 12:00:00,5.023,16.6235,0.3373,12.49677,
SHR,2014,2014-06-26 12:00:00,5.042,16.576,0.3373,12.48479,
SHR,2014,2014-06-26 12:00:00,5.06,16.5248,0.3412,12.46544,
SHR,2014,2014-06-26 12:00:00,5.081,16.4689,0.3968,12.43841,
SHR,2014,2014-06-26 12:00:00,5.103,16.4078,0.3928,12.41335,
SHR,2014,2014-06-26 12:00:00,5.125,16.3412,0.3968,12.37959,
SHR,2014,2014-06-26 12:00:00,5.148,16.2706,0.3968,12.35524,
SHR,2014,2014-06-26 12:00:00,5.17,16.1979,0.3412,12.31829,
SHR,2014,2014-06-26 12:00:00,5.188,16.1241,0.3254,12.28214,
SHR,2014,2014-06-26 12:00:00,5.209,16.0482,0.3254,12.24547,
SHR,2014,2014-06-26 12:00:00,5.228,15.97,0.3373,12.24192,
SHR,2014,2014-06-26 12:00:00,5.245,15.8908,0.3254,12.20072,
SHR,2014,2014-06-26 12:00:00,5.264,15.8121,0.3373,12.1813,
SHR,2014,2014-06-26 12:00:00,5.288,15.7355,0.3293,12.1574,
SHR,2014,2014-06-26 12:00:00,5.311,15.6634,0.3254,12.14159,
SHR,2014,2014-06-26 12:00:00,5.331,15.5965,0.3293,12.12954,
SHR,2014,2014-06-26 12:00:00,5.353,15.5334,0.3174,12.11637,
SHR,2014,2014-06-26 12:00:00,5.383,15.4725,0.3412,12.09745,
SHR,2014,2014-06-26 12:00:00,5.417,15.4141,0.3452,12.08681,
SHR,2014,2014-06-26 12:00:00,5.449,15.3588,0.3214,12.08108,
SHR,2014,2014-06-26 12:00:00,5.476,15.3067,0.3373,12.08128,
SHR,2014,2014-06-26 12:00:00,5.494,15.2575,0.3412,12.06646,
SHR,2014,2014-06-26 12:00:00,5.517,15.2107,0.3293,12.05349,
SHR,2014,2014-06-26 12:00:00,5.545,15.1671,0.3214,12.03642,
SHR,2014,2014-06-26 12:00:00,5.571,15.1282,0.3452,12.01467,
SHR,2014,2014-06-26 12:00:00,5.59,15.095,0.3174,11.99586,
SHR,2014,2014-06-26 12:00:00,5.606,15.0668,0.3333,11.98458,
SHR,2014,2014-06-26 12:00:00,5.623,15.0414,0.3373,11.97663,
SHR,2014,2014-06-26 12:00:00,5.643,15.0164,0.3293,11.97157,
SHR,2014,2014-06-26 12:00:00,5.669,14.9896,0.3333,11.96214,
SHR,2014,2014-06-26 12:00:00,5.705,14.9603,0.3373,11.95662,
SHR,2014,2014-06-26 12:00:00,5.746,14.9298,0.3373,11.95141,
SHR,2014,2014-06-26 12:00:00,5.774,14.9008,0.3174,11.93637,
SHR,2014,2014-06-26 12:00:00,5.793,14.8759,0.3452,11.9196,
SHR,2014,2014-06-26 12:00:00,5.806,14.8552,0.3452,11.90567,
SHR,2014,2014-06-26 12:00:00,5.817,14.8367,0.3333,11.8886,
SHR,2014,2014-06-26 12:00:00,5.833,14.8173,0.3293,11.86817,
