Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,1.685,16.7041,0.8128,1.6278,26.917936,6.76025,69.52795
FCR,2016,2016-05-16 12:00:00,1.68,16.702,0.8116,1.6297,26.966901,6.74274,69.34484
FCR,2016,2016-05-16 12:00:00,1.679,16.6997,0.8092,1.6356,27.009164,6.71767,69.08373
FCR,2016,2016-05-16 12:00:00,1.68,16.697,0.8067,1.6448,27.023932,6.69441,68.84059
FCR,2016,2016-05-16 12:00:00,1.683,16.6937,0.8031,1.6462,27.019152,6.66904,68.57493
FCR,2016,2016-05-16 12:00:00,1.685,16.6899,0.7962,1.6388,27.00958,6.64944,68.368
FCR,2016,2016-05-16 12:00:00,1.685,16.6857,0.7852,1.6356,27.002681,6.63111,68.17347
FCR,2016,2016-05-16 12:00:00,1.682,16.6807,0.7712,1.6381,27.004632,6.61372,67.98759
FCR,2016,2016-05-16 12:00:00,1.68,16.6753,0.7595,1.6388,27.001926,6.59535,67.79101
FCR,2016,2016-05-16 12:00:00,1.68,16.6697,0.7536,1.6392,26.99785,6.57643,67.58864
FCR,2016,2016-05-16 12:00:00,1.682,16.6647,0.7517,1.637,26.995323,6.55768,67.38887
FCR,2016,2016-05-16 12:00:00,1.683,16.6604,0.7502,1.6306,26.979645,6.54406,67.24279
FCR,2016,2016-05-16 12:00:00,1.683,16.6569,0.746,1.6285,26.958659,6.52369,67.02854
FCR,2016,2016-05-16 12:00:00,1.682,16.6539,0.739,1.6301,26.940794,6.50853,66.86857
FCR,2016,2016-05-16 12:00:00,1.681,16.6514,0.728,1.6302,26.927299,6.49232,66.69854
FCR,2016,2016-05-16 12:00:00,1.681,16.6491,0.7143,1.6322,26.914574,6.47812,66.54947
FCR,2016,2016-05-16 12:00:00,1.682,16.647,0.7036,1.6435,26.913251,6.45842,66.34418
FCR,2016,2016-05-16 12:00:00,1.683,16.6449,0.6978,1.6625,26.941014,6.44708,66.22476
FCR,2016,2016-05-16 12:00:00,1.682,16.6429,0.6934,1.6863,26.969196,6.42607,66.00616
FCR,2016,2016-05-16 12:00:00,1.683,16.6409,0.6884,1.7271,26.975255,6.42618,66.00458
FCR,2016,2016-05-16 12:00:00,1.682,16.639,0.6842,1.7796,26.970826,6.40946,65.83013
FCR,2016,2016-05-16 12:00:00,1.682,16.6373,0.6827,1.8166,26.964747,6.39479,65.67713
FCR,2016,2016-05-16 12:00:00,1.682,16.6358,0.6833,1.8251,26.96742,6.3822,65.54579
FCR,2016,2016-05-16 12:00:00,1.687,16.6346,0.6844,1.8039,26.97555,6.37179,65.43723
FCR,2016,2016-05-16 12:00:00,1.691,16.6336,0.685,1.7612,26.97327,6.36321,65.34775
FCR,2016,2016-05-16 12:00:00,1.693,16.6327,0.6845,1.7153,26.959973,6.35473,65.25942
FCR,2016,2016-05-16 12:00:00,1.692,16.6319,0.6837,1.6792,26.942132,6.3503,65.21278
FCR,2016,2016-05-16 12:00:00,1.689,16.6314,0.684,1.6546,26.93703,6.33538,65.05897
FCR,2016,2016-05-16 12:00:00,1.685,16.6312,0.6843,1.6383,26.943308,6.32839,64.9869
FCR,2016,2016-05-16 12:00:00,1.685,16.6313,0.6834,1.633,26.928575,6.32569,64.95928
FCR,2016,2016-05-16 12:00:00,1.687,16.6316,0.6833,1.6362,26.896916,6.31859,64.88674
FCR,2016,2016-05-16 12:00:00,1.69,16.6321,0.684,1.6359,26.879966,6.31207,64.82053
FCR,2016,2016-05-16 12:00:00,1.69,16.6325,0.6833,1.6299,26.889237,6.30533,64.75181
FCR,2016,2016-05-16 12:00:00,1.689,16.6328,0.682,1.6234,26.921188,6.30403,64.73887
FCR,2016,2016-05-16 12:00:00,1.688,16.6329,0.6809,1.6193,26.954282,6.29398,64.63582
FCR,2016,2016-05-16 12:00:00,1.687,16.6329,0.6776,1.6165,26.963279,6.28623,64.55627
FCR,2016,2016-05-16 12:00:00,1.687,16.6332,0.6714,1.6155,26.958595,6.27256,64.41621
FCR,2016,2016-05-16 12:00:00,1.688,16.6335,0.6657,1.6169,26.969036,6.26563,64.3455
FCR,2016,2016-05-16 12:00:00,1.689,16.6336,0.6632,1.6179,26.985366,6.25793,64.26653
FCR,2016,2016-05-16 12:00:00,1.688,16.6334,0.6632,1.621,26.979876,6.24634,64.14731
FCR,2016,2016-05-16 12:00:00,1.689,16.6325,0.6668,1.6292,26.969137,6.23489,64.0285
FCR,2016,2016-05-16 12:00:00,1.688,16.6311,0.6736,1.6334,26.964312,6.22769,63.95262
FCR,2016,2016-05-16 12:00:00,1.688,16.6293,0.6787,1.6289,26.946081,6.2197,63.8682
FCR,2016,2016-05-16 12:00:00,1.688,16.6273,0.6817,1.6248,26.915594,6.21223,63.78875
FCR,2016,2016-05-16 12:00:00,1.688,16.6255,0.6858,1.6223,26.886762,6.20201,63.68139
FCR,2016,2016-05-16 12:00:00,1.688,16.624,0.6898,1.6173,26.869931,6.19221,63.57877
FCR,2016,2016-05-16 12:00:00,1.688,16.6229,0.6931,1.6143,26.862618,6.17977,63.44965
FCR,2016,2016-05-16 12:00:00,1.689,16.6219,0.6985,1.6146,26.870887,6.17214,63.36996
FCR,2016,2016-05-16 12:00:00,1.689,16.6209,0.7068,1.6161,26.898946,6.16599,63.3055
FCR,2016,2016-05-16 12:00:00,1.689,16.6199,0.7159,1.6215,26.926226,6.15913,63.23375
FCR,2016,2016-05-16 12:00:00,1.688,16.6189,0.7224,1.63,26.951984,6.15259,63.16527
FCR,2016,2016-05-16 12:00:00,1.687,16.6177,0.7257,1.6311,26.991106,6.15054,63.14267
FCR,2016,2016-05-16 12:00:00,1.687,16.6166,0.7248,1.623,27.027974,6.14312,63.06495
FCR,2016,2016-05-16 12:00:00,1.687,16.6156,0.7196,1.6159,27.040358,6.13827,63.01384
FCR,2016,2016-05-16 12:00:00,1.688,16.6149,0.7132,1.6127,27.037571,6.12954,62.92332
FCR,2016,2016-05-16 12:00:00,1.688,16.6145,0.7093,1.6079,27.022879,6.12495,62.87571
FCR,2016,2016-05-16 12:00:00,1.687,16.6143,0.7104,1.6048,26.996372,6.11311,62.75388
FCR,2016,2016-05-16 12:00:00,1.688,16.6145,0.7189,1.6083,26.973022,6.10695,62.69091
FCR,2016,2016-05-16 12:00:00,1.687,16.615,0.7326,1.6124,26.950611,6.1014,62.63459
FCR,2016,2016-05-16 12:00:00,1.687,16.6156,0.746,1.6182,26.92717,6.09446,62.56409
FCR,2016,2016-05-16 12:00:00,1.687,16.6163,0.7592,1.6274,26.920494,6.08704,62.48884
FCR,2016,2016-05-16 12:00:00,1.687,16.617,0.7759,1.6309,26.930806,6.08813,62.50099
FCR,2016,2016-05-16 12:00:00,1.688,16.6177,0.7943,1.6307,26.932803,6.08037,62.4222
