Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,4.431,14.9776,0.1349,3.3697,14.537,10.88562,108.0014
SHR,2015,2015-05-08 12:00:00,4.463,14.9228,0.1587,3.3869,14.641,10.86816,107.70065
SHR,2015,2015-05-08 12:00:00,4.499,14.8781,0.1429,3.3182,14.761,10.87847,107.69868
SHR,2015,2015-05-08 12:00:00,4.524,14.8437,0.1468,3.3354,14.844,10.9373,108.20052
SHR,2015,2015-05-08 12:00:00,4.55,14.8156,0.1429,3.4727,14.927,11.04095,109.15946
SHR,2015,2015-05-08 12:00:00,4.583,14.7798,0.1151,3.3525,15.035,11.17479,110.39707
SHR,2015,2015-05-08 12:00:00,4.603,14.7143,0.1468,3.3525,15.103,11.28504,111.32815
SHR,2015,2015-05-08 12:00:00,4.602,14.6051,0.1151,3.4212,15.097,11.38454,112.04396
SHR,2015,2015-05-08 12:00:00,4.591,14.4631,0.1468,3.3525,15.064,11.48779,112.71169
SHR,2015,2015-05-08 12:00:00,4.59,14.3179,0.1429,3.2667,15.059,11.61338,113.58392
SHR,2015,2015-05-08 12:00:00,4.623,14.1934,0.1548,3.4212,15.167,11.73869,114.49756
SHR,2015,2015-05-08 12:00:00,4.691,14.0871,0.1468,3.3697,15.39,11.85361,115.34957
SHR,2015,2015-05-08 12:00:00,4.75,13.9754,0.1429,3.3697,15.584,11.96568,116.1551
SHR,2015,2015-05-08 12:00:00,4.777,13.8375,0.1349,3.301,15.674,12.0665,116.77918
SHR,2015,2015-05-08 12:00:00,4.783,13.6738,0.1944,3.404,15.691,12.1711,117.36736
SHR,2015,2015-05-08 12:00:00,4.789,13.5005,0.2063,3.404,15.712,12.27972,117.96203
SHR,2015,2015-05-08 12:00:00,4.808,13.3322,0.2063,3.3354,15.776,12.3697,118.38387
SHR,2015,2015-05-08 12:00:00,4.848,13.1741,0.1944,3.3697,15.907,12.44949,118.72923
SHR,2015,2015-05-08 12:00:00,4.895,13.0258,0.2024,3.6959,16.061,12.51526,118.96236
SHR,2015,2015-05-08 12:00:00,4.935,12.886,0.2103,3.6444,16.192,12.56051,119.01991
SHR,2015,2015-05-08 12:00:00,4.965,12.7548,0.1865,3.61,16.289,12.57945,118.84933
SHR,2015,2015-05-08 12:00:00,4.993,12.6343,0.2024,3.6615,16.38,12.58549,118.58495
SHR,2015,2015-05-08 12:00:00,5.021,12.5265,0.1984,3.5929,16.473,12.58236,118.26808
SHR,2015,2015-05-08 12:00:00,5.051,12.4318,0.1984,3.301,16.573,12.57108,117.90997
SHR,2015,2015-05-08 12:00:00,5.083,12.347,0.1984,3.3525,16.676,12.56198,117.5991
SHR,2015,2015-05-08 12:00:00,5.112,12.2664,0.1984,3.404,16.77,12.55775,117.34527
SHR,2015,2015-05-08 12:00:00,5.132,12.1828,0.2063,3.3182,16.838,12.56225,117.16528
SHR,2015,2015-05-08 12:00:00,5.147,12.0899,0.2024,3.3182,16.887,12.5752,117.0391
SHR,2015,2015-05-08 12:00:00,5.161,11.985,0.2143,3.3354,16.931,12.58596,116.8604
SHR,2015,2015-05-08 12:00:00,5.177,11.8692,0.2143,3.3354,16.985,12.61472,116.81906
SHR,2015,2015-05-08 12:00:00,5.205,11.7453,0.1944,3.3182,17.076,12.6433,116.75327
SHR,2015,2015-05-08 12:00:00,5.241,11.6191,0.2024,3.61,17.193,12.67172,116.67852
SHR,2015,2015-05-08 12:00:00,5.275,11.4981,0.1984,3.6444,17.305,12.70167,116.63036
SHR,2015,2015-05-08 12:00:00,5.31,11.3883,0.2103,3.6444,17.422,12.723,116.53196
