Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COMD_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,0.813,16.8536,1.1016,2.2485,27.162398,8.71294,89.89216,
FCR,2016,2016-05-16 12:00:00,0.813,16.8546,1.0924,2.2178,27.174494,8.71664,89.93221,
FCR,2016,2016-05-16 12:00:00,0.813,16.8554,1.087,2.1867,27.18916,8.71184,89.88419,
FCR,2016,2016-05-16 12:00:00,0.813,16.8561,1.0891,2.164,27.194278,8.7067,89.83252,
FCR,2016,2016-05-16 12:00:00,0.813,16.8565,1.0978,2.1436,27.205238,8.70163,89.78094,
FCR,2016,2016-05-16 12:00:00,0.813,16.8566,1.1101,2.127,27.230975,8.71031,89.87073,
FCR,2016,2016-05-16 12:00:00,0.814,16.8565,1.1217,2.1201,27.268333,8.72551,90.02736,
FCR,2016,2016-05-16 12:00:00,0.815,16.8562,1.1309,2.1141,27.311243,8.74321,90.20939,
FCR,2016,2016-05-16 12:00:00,0.814,16.8559,1.1396,2.104,27.339087,8.76106,90.39304,
FCR,2016,2016-05-16 12:00:00,0.814,16.8554,1.152,2.0928,27.349269,8.78053,90.59298,
FCR,2016,2016-05-16 12:00:00,0.816,16.8549,1.1674,2.0822,27.350517,8.79114,90.70152,
FCR,2016,2016-05-16 12:00:00,0.82,16.8543,1.1791,2.0773,27.337151,8.79494,90.73957,
FCR,2016,2016-05-16 12:00:00,0.823,16.8536,1.1849,2.0813,27.309616,8.79884,90.77843,
FCR,2016,2016-05-16 12:00:00,0.823,16.853,1.1878,2.0863,27.286619,8.79938,90.78291,
FCR,2016,2016-05-16 12:00:00,0.821,16.8525,1.1889,2.0831,27.278058,8.80222,90.81123,
FCR,2016,2016-05-16 12:00:00,0.818,16.8522,1.1883,2.0745,27.285657,8.81412,90.93341,
FCR,2016,2016-05-16 12:00:00,0.818,16.8522,1.1879,2.0673,27.29341,8.82929,91.09,
FCR,2016,2016-05-16 12:00:00,0.819,16.8523,1.1897,2.0641,27.289354,8.85176,91.32192,
FCR,2016,2016-05-16 12:00:00,0.821,16.8526,1.1936,2.0629,27.292449,8.86984,91.50911,
FCR,2016,2016-05-16 12:00:00,0.822,16.853,1.1995,2.0623,27.287488,8.88151,91.63023,
FCR,2016,2016-05-16 12:00:00,0.819,16.8535,1.2076,2.0633,27.269141,8.88322,91.64884,
FCR,2016,2016-05-16 12:00:00,0.818,16.8542,1.2187,2.0661,27.256561,8.87803,91.59659,
FCR,2016,2016-05-16 12:00:00,0.817,16.8549,1.2298,2.0748,27.24439,8.87125,91.52802,
FCR,2016,2016-05-16 12:00:00,0.818,16.8557,1.2364,2.0873,27.253428,8.86339,91.44844,
FCR,2016,2016-05-16 12:00:00,0.819,16.8565,1.2387,2.0989,27.290093,8.85442,91.35746,
FCR,2016,2016-05-16 12:00:00,0.82,16.8573,1.237,2.1183,27.312063,8.86356,91.4533,
FCR,2016,2016-05-16 12:00:00,0.819,16.8581,1.2289,2.1588,27.305158,8.88502,91.67618,
FCR,2016,2016-05-16 12:00:00,0.818,16.8587,1.2161,2.2093,27.281563,8.90036,91.83564,
FCR,2016,2016-05-16 12:00:00,0.819,16.8593,1.2046,2.2446,27.249014,8.91224,91.95941,
FCR,2016,2016-05-16 12:00:00,0.819,16.8598,1.1981,2.2693,27.22488,8.92601,92.1024,
FCR,2016,2016-05-16 12:00:00,0.819,16.8603,1.1962,2.2902,27.222765,8.95534,92.40598,
FCR,2016,2016-05-16 12:00:00,0.819,16.861,1.1971,2.2955,27.242105,8.97664,92.62715,
FCR,2016,2016-05-16 12:00:00,0.819,16.862,1.1978,2.2867,27.266014,8.98414,92.70654,
FCR,2016,2016-05-16 12:00:00,0.819,16.8631,1.1974,2.2707,27.286842,9.00226,92.89566,
FCR,2016,2016-05-16 12:00:00,0.819,16.8644,1.1955,2.2375,27.302127,9.01911,93.07201,
FCR,2016,2016-05-16 12:00:00,0.818,16.8656,1.1916,2.1896,27.293902,9.01371,93.01865,
FCR,2016,2016-05-16 12:00:00,0.818,16.8669,1.1864,2.1532,27.265985,9.01933,93.07917,
FCR,2016,2016-05-16 12:00:00,0.818,16.8681,1.1803,2.1299,27.242995,9.03136,93.20562,
FCR,2016,2016-05-16 12:00:00,0.82,16.8692,1.1701,2.1092,27.234832,9.04245,93.32229,
FCR,2016,2016-05-16 12:00:00,0.82,16.87,1.1567,2.099,27.233307,9.05683,93.47218,
FCR,2016,2016-05-16 12:00:00,0.821,16.8706,1.1467,2.1059,27.225989,9.06818,93.59049,
FCR,2016,2016-05-16 12:00:00,0.82,16.8709,1.1426,2.1192,27.210929,9.07756,93.6879,
FCR,2016,2016-05-16 12:00:00,0.819,16.8709,1.1408,2.132,27.196133,9.08426,93.75705,
FCR,2016,2016-05-16 12:00:00,0.82,16.8708,1.1391,2.1615,27.191683,9.08133,93.72665,
FCR,2016,2016-05-16 12:00:00,0.82,16.8706,1.1373,2.2065,27.210418,9.0714,93.62375,
FCR,2016,2016-05-16 12:00:00,0.82,16.8702,1.1351,2.2354,27.243308,9.05833,93.48808,
FCR,2016,2016-05-16 12:00:00,0.821,16.8697,1.1335,2.2387,27.263054,9.04715,93.37171,
FCR,2016,2016-05-16 12:00:00,0.82,16.8692,1.1332,2.2152,27.254884,9.03855,93.282,
FCR,2016,2016-05-16 12:00:00,0.818,16.8688,1.1323,2.1664,27.226636,9.03716,93.26687,
FCR,2016,2016-05-16 12:00:00,0.817,16.8686,1.1301,2.1207,27.200838,9.03784,93.27347,
FCR,2016,2016-05-16 12:00:00,0.816,16.8686,1.1281,2.0966,27.182632,9.04463,93.34355,
FCR,2016,2016-05-16 12:00:00,0.818,16.8687,1.1262,2.0867,27.175179,9.05886,93.49064,
FCR,2016,2016-05-16 12:00:00,0.819,16.8689,1.1235,2.0883,27.184506,9.07435,93.65086,
FCR,2016,2016-05-16 12:00:00,0.82,16.8694,1.12,2.1064,27.19106,9.08918,93.80492,
FCR,2016,2016-05-16 12:00:00,0.819,16.8702,1.1147,2.1377,27.200594,9.09951,93.91307,
FCR,2016,2016-05-16 12:00:00,0.818,16.8714,1.1048,2.1874,27.233687,9.11424,94.06744,
FCR,2016,2016-05-16 12:00:00,0.818,16.8729,1.0917,2.249,27.271108,9.13092,94.24264,
FCR,2016,2016-05-16 12:00:00,0.819,16.8745,1.082,2.2899,27.286767,9.14473,94.38834,
FCR,2016,2016-05-16 12:00:00,0.819,16.8763,1.0786,2.2992,27.288849,9.15199,94.46684,
FCR,2016,2016-05-16 12:00:00,0.819,16.8781,1.0807,2.2965,27.293938,9.14962,94.44584,
FCR,2016,2016-05-16 12:00:00,0.818,16.8801,1.0889,2.296,27.305396,9.14629,94.41542,
FCR,2016,2016-05-16 12:00:00,0.818,16.882,1.1012,2.293,27.334295,9.15218,94.48003,
FCR,2016,2016-05-16 12:00:00,0.818,16.8839,1.1106,2.2788,27.366296,9.15423,94.50491,
FCR,2016,2016-05-16 12:00:00,0.819,16.8856,1.1156,2.2529,27.381881,9.17166,94.6883,
FCR,2016,2016-05-16 12:00:00,0.819,16.8871,1.119,2.2118,27.379194,9.18148,94.79265,
FCR,2016,2016-05-16 12:00:00,0.818,16.8884,1.1211,2.1573,27.361526,9.18615,94.84336,
FCR,2016,2016-05-16 12:00:00,0.819,16.8895,1.1225,2.1101,27.346209,9.17831,94.76468,
FCR,2016,2016-05-16 12:00:00,0.819,16.8904,1.1241,2.0819,27.341179,9.17029,94.68357,
FCR,2016,2016-05-16 12:00:00,0.819,16.8912,1.1245,2.0649,27.349105,9.15046,94.48043,
FCR,2016,2016-05-16 12:00:00,0.819,16.892,1.1227,2.056,27.366089,9.13456,94.31785,
FCR,2016,2016-05-16 12:00:00,0.819,16.8927,1.1195,2.0549,27.376621,9.11527,94.12004,
FCR,2016,2016-05-16 12:00:00,0.82,16.8935,1.1149,2.0535,27.37349,9.09306,93.89233,
FCR,2016,2016-05-16 12:00:00,0.82,16.8941,1.1061,2.0501,27.361873,9.08283,93.78783,
FCR,2016,2016-05-16 12:00:00,0.819,16.8944,1.0936,2.0541,27.348691,9.08756,93.83729,
FCR,2016,2016-05-16 12:00:00,0.819,16.8943,1.0851,2.0609,27.340447,9.09733,93.93792,
FCR,2016,2016-05-16 12:00:00,0.82,16.8939,1.0834,2.0586,27.34296,9.11825,94.15321,
FCR,2016,2016-05-16 12:00:00,0.82,16.8932,1.0865,2.0489,27.346881,9.1323,94.29686,
FCR,2016,2016-05-16 12:00:00,0.821,16.8922,1.0958,2.0405,27.33522,9.13395,94.31195,
FCR,2016,2016-05-16 12:00:00,0.816,16.8911,1.1096,2.037,27.308875,9.12043,94.17016,
FCR,2016,2016-05-16 12:00:00,0.792,16.89,1.1201,2.0375,27.286871,9.08259,93.77728,
FCR,2016,2016-05-16 12:00:00,0.738,16.8889,1.1241,2.041,27.275364,9.03272,93.26026,
FCR,2016,2016-05-16 12:00:00,0.679,16.8878,1.1243,2.0438,27.265273,8.97523,92.66456,
FCR,2016,2016-05-16 12:00:00,0.651,16.8868,1.1229,2.0433,27.261922,8.90621,91.95006,
FCR,2016,2016-05-16 12:00:00,0.612,16.8862,1.12,2.0426,27.26442,8.85366,91.40636,
FCR,2016,2016-05-16 12:00:00,0.573,16.8861,1.1143,2.0463,27.263411,8.80836,90.93847,
FCR,2016,2016-05-16 12:00:00,0.578,16.8865,1.1037,2.0529,27.260632,8.7696,90.53903,
FCR,2016,2016-05-16 12:00:00,0.587,16.887,1.0901,2.0621,27.257344,8.73185,90.15026,
FCR,2016,2016-05-16 12:00:00,0.598,16.8875,1.0798,2.0807,27.25668,8.72921,90.12392,
FCR,2016,2016-05-16 12:00:00,0.61,16.8878,1.073,2.1138,27.266476,8.74262,90.26297,
FCR,2016,2016-05-16 12:00:00,0.598,16.8879,1.0677,2.1657,27.283335,8.77209,90.56743,
FCR,2016,2016-05-16 12:00:00,0.559,16.8879,1.0642,2.2283,27.303735,8.81217,90.9812,
FCR,2016,2016-05-16 12:00:00,0.51,16.8877,1.062,2.2751,27.325103,8.84137,91.28234,
FCR,2016,2016-05-16 12:00:00,0.464,16.8875,1.0594,2.2954,27.333096,8.86538,91.52983,
FCR,2016,2016-05-16 12:00:00,0.424,16.8874,1.0536,2.2971,27.329847,8.8737,91.61559,
FCR,2016,2016-05-16 12:00:00,0.396,16.8875,1.0432,2.2908,27.318496,8.86752,91.5519,
FCR,2016,2016-05-16 12:00:00,0.375,16.8878,1.03,2.2829,27.306037,8.85336,91.40634,
FCR,2016,2016-05-16 12:00:00,0.359,16.8883,1.0177,2.2702,27.315198,8.82863,91.1519,
FCR,2016,2016-05-16 12:00:00,0.355,16.8891,1.0076,2.2493,27.342409,8.79007,90.7554,
FCR,2016,2016-05-16 12:00:00,0.352,16.8903,0.9993,2.2112,27.372884,8.75459,90.3913,
FCR,2016,2016-05-16 12:00:00,0.345,16.8917,0.9917,2.1594,27.396715,8.71983,90.03501,
FCR,2016,2016-05-16 12:00:00,0.34,16.8934,0.9822,2.1191,27.398214,8.69532,89.78519,
