Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,7.955,10.4723,3.3723,9.91597
CCR,2014,2014-05-08 12:00:00,8.014,10.4368,3.3802,9.88461
CCR,2014,2014-05-08 12:00:00,8.08,10.396,3.3604,9.88044
CCR,2014,2014-05-08 12:00:00,8.125,10.3584,3.3643,9.88009
CCR,2014,2014-05-08 12:00:00,8.141,10.3285,3.3802,9.89037
CCR,2014,2014-05-08 12:00:00,8.139,10.304,3.3723,9.90447
CCR,2014,2014-05-08 12:00:00,8.148,10.277,3.3683,9.91979
CCR,2014,2014-05-08 12:00:00,8.183,10.2413,3.3683,9.94031
CCR,2014,2014-05-08 12:00:00,8.238,10.197,3.1898,9.95261
CCR,2014,2014-05-08 12:00:00,8.291,10.1492,3.1699,9.96745
CCR,2014,2014-05-08 12:00:00,8.329,10.103,3.166,9.97517
CCR,2014,2014-05-08 12:00:00,8.349,10.0611,3.1898,9.99138
CCR,2014,2014-05-08 12:00:00,8.363,10.0231,3.2493,9.99443
CCR,2014,2014-05-08 12:00:00,8.384,9.987,3.2175,9.99465
CCR,2014,2014-05-08 12:00:00,8.414,9.9506,3.2453,9.99328
CCR,2014,2014-05-08 12:00:00,8.444,9.9129,3.2493,10.00274
CCR,2014,2014-05-08 12:00:00,8.471,9.8736,3.3048,10.0069
CCR,2014,2014-05-08 12:00:00,8.498,9.8323,3.3167,10.01872
CCR,2014,2014-05-08 12:00:00,8.535,9.7883,3.3167,10.02347
CCR,2014,2014-05-08 12:00:00,8.58,9.7423,3.3048,10.04405
CCR,2014,2014-05-08 12:00:00,8.625,9.6958,3.0549,10.0682
CCR,2014,2014-05-08 12:00:00,8.66,9.6508,3.0549,10.10212
CCR,2014,2014-05-08 12:00:00,8.685,9.6085,3.0628,10.12582
CCR,2014,2014-05-08 12:00:00,8.716,9.5691,3.039,10.15284
CCR,2014,2014-05-08 12:00:00,8.747,9.5328,3.047,10.17132
CCR,2014,2014-05-08 12:00:00,8.764,9.5,2.8724,10.17935
CCR,2014,2014-05-08 12:00:00,8.774,9.4695,2.8605,10.18147
CCR,2014,2014-05-08 12:00:00,8.794,9.4394,2.8724,10.17553
CCR,2014,2014-05-08 12:00:00,8.836,9.4084,2.8684,10.17253
CCR,2014,2014-05-08 12:00:00,8.892,9.3772,2.7256,10.16547
CCR,2014,2014-05-08 12:00:00,8.943,9.3484,2.7296,10.17704
CCR,2014,2014-05-08 12:00:00,8.971,9.3247,2.7335,10.19347
CCR,2014,2014-05-08 12:00:00,8.976,9.3058,2.7454,10.21447
CCR,2014,2014-05-08 12:00:00,8.977,9.2877,2.7851,10.22925
CCR,2014,2014-05-08 12:00:00,8.999,9.2656,2.8049,10.23489
CCR,2014,2014-05-08 12:00:00,9.047,9.2388,2.8089,10.25032
CCR,2014,2014-05-08 12:00:00,9.108,9.2101,2.8129,10.25979
CCR,2014,2014-05-08 12:00:00,9.164,9.1831,2.6542,10.27043
CCR,2014,2014-05-08 12:00:00,9.193,9.1601,2.678,10.28322
CCR,2014,2014-05-08 12:00:00,9.201,9.1407,2.682,10.30525
CCR,2014,2014-05-08 12:00:00,9.214,9.1223,2.6701,10.31035
CCR,2014,2014-05-08 12:00:00,9.244,9.103,2.6542,10.32168
CCR,2014,2014-05-08 12:00:00,9.285,9.0823,2.555,10.33353
CCR,2014,2014-05-08 12:00:00,9.334,9.0611,2.5431,10.33488
CCR,2014,2014-05-08 12:00:00,9.376,9.0401,2.5431,10.33741
CCR,2014,2014-05-08 12:00:00,9.411,9.0202,2.5629,10.34018
CCR,2014,2014-05-08 12:00:00,9.441,9.0015,2.9279,10.33233
CCR,2014,2014-05-08 12:00:00,9.468,8.9843,2.9081,10.33171
CCR,2014,2014-05-08 12:00:00,9.492,8.9683,2.9319,10.33047
CCR,2014,2014-05-08 12:00:00,9.512,8.9531,2.9359,10.31849
CCR,2014,2014-05-08 12:00:00,9.544,8.9377,3.1144,10.31511
