Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,DO_mgL
BVR,2015,2015-05-15 12:00:00,2.996,15.1426,1.2656,4.0392,10.3878
BVR,2015,2015-05-15 12:00:00,3.011,15.0964,1.3846,3.9362,10.37212
BVR,2015,2015-05-15 12:00:00,3.026,15.0541,1.3807,3.9877,10.35934
BVR,2015,2015-05-15 12:00:00,3.048,15.0153,1.4005,4.0392,10.34929
BVR,2015,2015-05-15 12:00:00,3.067,14.9796,1.3965,3.9534,10.33969
BVR,2015,2015-05-15 12:00:00,3.082,14.9461,1.583,4.0392,10.328
BVR,2015,2015-05-15 12:00:00,3.093,14.9131,1.5711,4.022,10.31831
BVR,2015,2015-05-15 12:00:00,3.107,14.8793,1.6028,3.9877,10.30695
BVR,2015,2015-05-15 12:00:00,3.123,14.845,1.587,3.9877,10.29512
BVR,2015,2015-05-15 12:00:00,3.136,14.8119,1.6981,4.1422,10.28629
BVR,2015,2015-05-15 12:00:00,3.152,14.7809,1.7139,4.0564,10.25574
BVR,2015,2015-05-15 12:00:00,3.177,14.7512,1.7179,3.9534,10.2299
BVR,2015,2015-05-15 12:00:00,3.199,14.7217,1.6901,4.022,10.20326
BVR,2015,2015-05-15 12:00:00,3.217,14.6919,1.7179,4.0049,10.17469
BVR,2015,2015-05-15 12:00:00,3.233,14.6616,1.9163,4.228,10.1372
BVR,2015,2015-05-15 12:00:00,3.25,14.6303,1.8964,4.2108,10.10138
BVR,2015,2015-05-15 12:00:00,3.272,14.5968,1.8964,4.331,10.07231
BVR,2015,2015-05-15 12:00:00,3.29,14.562,1.9163,4.3138,10.03499
BVR,2015,2015-05-15 12:00:00,3.304,14.5274,1.948,3.9534,10.00828
BVR,2015,2015-05-15 12:00:00,3.319,14.4931,1.9599,3.9877,9.98071
BVR,2015,2015-05-15 12:00:00,3.336,14.4582,1.9718,4.0049,9.94961
BVR,2015,2015-05-15 12:00:00,3.352,14.4227,1.9718,3.9705,9.92732
BVR,2015,2015-05-15 12:00:00,3.368,14.388,2.2694,4.2623,9.90106
BVR,2015,2015-05-15 12:00:00,3.388,14.3551,2.2852,4.2967,9.88066
BVR,2015,2015-05-15 12:00:00,3.411,14.3232,2.2892,4.3482,9.84806
BVR,2015,2015-05-15 12:00:00,3.431,14.291,2.2932,4.228,9.82013
BVR,2015,2015-05-15 12:00:00,3.448,14.2572,2.4717,4.331,9.79053
BVR,2015,2015-05-15 12:00:00,3.463,14.2216,2.4836,4.2795,9.76881
BVR,2015,2015-05-15 12:00:00,3.478,14.1856,2.4995,4.2795,9.75486
BVR,2015,2015-05-15 12:00:00,3.497,14.1511,2.4638,4.3138,9.74298
BVR,2015,2015-05-15 12:00:00,3.514,14.1197,2.4677,4.1937,9.73483
BVR,2015,2015-05-15 12:00:00,3.531,14.0916,2.797,4.1593,9.72437
BVR,2015,2015-05-15 12:00:00,3.55,14.0659,2.7772,4.2795,9.71045
BVR,2015,2015-05-15 12:00:00,3.566,14.0416,2.7811,4.2795,9.69432
BVR,2015,2015-05-15 12:00:00,3.577,14.0185,2.7851,4.2967,9.67317
BVR,2015,2015-05-15 12:00:00,3.591,13.9973,3.0509,4.1937,9.63526
BVR,2015,2015-05-15 12:00:00,3.61,13.9778,3.047,4.2967,9.58743
BVR,2015,2015-05-15 12:00:00,3.629,13.9594,3.0351,4.2623,9.53261
BVR,2015,2015-05-15 12:00:00,3.646,13.9411,3.0509,4.2967,9.4669
BVR,2015,2015-05-15 12:00:00,3.658,13.9225,3.7214,4.2795,9.39042
BVR,2015,2015-05-15 12:00:00,3.674,13.9027,3.7254,4.3482,9.31996
BVR,2015,2015-05-15 12:00:00,3.688,13.8797,3.7412,4.2795,9.24614
BVR,2015,2015-05-15 12:00:00,3.701,13.8515,3.7373,4.2108,9.17901
