Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,1.42,16.5454,1.0711,1.976,26.961154,6.52925,66.92872,
FCR,2016,2016-05-16 12:00:00,1.421,16.5379,1.0554,1.9733,26.959344,6.511,66.73115,
FCR,2016,2016-05-16 12:00:00,1.422,16.5295,1.0366,1.9633,26.954824,6.49645,66.57024,
FCR,2016,2016-05-16 12:00:00,1.423,16.5207,1.0097,1.9536,26.944386,6.48079,66.39745,
FCR,2016,2016-05-16 12:00:00,1.426,16.5117,0.9772,1.9451,26.925245,6.46633,66.23683,
FCR,2016,2016-05-16 12:00:00,1.427,16.5029,0.9476,1.9401,26.918347,6.44775,66.03424,
FCR,2016,2016-05-16 12:00:00,1.427,16.4949,0.9232,1.943,26.927864,6.43734,65.91652,
FCR,2016,2016-05-16 12:00:00,1.425,16.4884,0.8992,1.9466,26.926276,6.41785,65.70797,
FCR,2016,2016-05-16 12:00:00,1.424,16.4831,0.8759,1.9459,26.899133,6.40629,65.58229,
FCR,2016,2016-05-16 12:00:00,1.422,16.4787,0.8632,1.949,26.861237,6.39086,65.41825,
FCR,2016,2016-05-16 12:00:00,1.418,16.4749,0.8689,1.9567,26.820519,6.37777,65.27909,
FCR,2016,2016-05-16 12:00:00,1.415,16.4716,0.8941,1.9583,26.778142,6.36634,65.15751,
FCR,2016,2016-05-16 12:00:00,1.414,16.4688,0.9309,1.9566,26.752862,6.35423,65.02974,
FCR,2016,2016-05-16 12:00:00,1.416,16.4665,0.9632,1.9603,26.75998,6.34196,64.90098,
FCR,2016,2016-05-16 12:00:00,1.418,16.4647,0.9872,1.9648,26.789372,6.33021,64.77831,
FCR,2016,2016-05-16 12:00:00,1.419,16.4632,1.008,1.9665,26.816815,6.32218,64.69412,
FCR,2016,2016-05-16 12:00:00,1.417,16.4621,1.0315,1.966,26.843614,6.30979,64.56579,
FCR,2016,2016-05-16 12:00:00,1.416,16.4613,1.0582,1.9573,26.866897,6.29306,64.39358,
FCR,2016,2016-05-16 12:00:00,1.415,16.4608,1.0788,1.9359,26.860812,6.2821,64.28069,
FCR,2016,2016-05-16 12:00:00,1.416,16.4606,1.0874,1.9065,26.84177,6.27024,64.15906,
FCR,2016,2016-05-16 12:00:00,1.416,16.4605,1.0846,1.8702,26.840762,6.26464,64.10163,
FCR,2016,2016-05-16 12:00:00,1.417,16.4602,1.0752,1.8265,26.859523,6.25601,64.01298,
FCR,2016,2016-05-16 12:00:00,1.418,16.4597,1.0662,1.7903,26.895041,6.24497,63.89935,
FCR,2016,2016-05-16 12:00:00,1.416,16.4592,1.0613,1.7826,26.922722,6.23834,63.83087,
FCR,2016,2016-05-16 12:00:00,1.416,16.4586,1.0601,1.8106,26.919891,6.22772,63.72133,
