Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,infTPloads_g,Notes
FCR,2013,2013-09-18 12:00:00,1.6,,17.06,4.4,4.3,2.7,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,2.8,,17.06,2.9,3.2,2.1,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,3.8,,28.01,0.7,5,4.6,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,5,,19.8,3.7,131,14.4,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,6.2,,18.89,3.7,211,18.3,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,8,,17.06,4,220,16.4,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,0.1,,27.1,5.2,12.9,4.3,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,0.8,,17.06,4.2,8.2,3.8,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,1.6,,20.71,4.8,6.7,4.4,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,2.8,,21.62,5,8,3.4,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,3.8,,25.27,6.1,7.3,5.9,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,5,,18.89,4,137,13.5,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,6.2,,30.75,5,276,19.1,,,,,,,,,
FCR,2013,2013-09-25 12:00:00,8,,18.89,0.1,282,18.1,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,0.1,,42.53,6.6,13.1,4,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,0.8,,43.69,5.6,10.6,6.4,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,1.6,,44.85,4.7,9.8,8.7,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,2.8,,47.18,4.8,7.5,4.5,,,,,,,,,
