Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-03-17 12:00:00,0.724385041,0.012073084,0.721459817,0.01202433,1043.114459,0.003362169,5.60E-05,296.6675333,3.383125
FCR,2014,2014-03-18 12:00:00,0.734723634,0.012245394,0.704908608,0.011748477,1058.002033,0.007046552,0.000117443,294.3480669,3.976145833
FCR,2014,2014-03-19 12:00:00,0.771142415,0.012852374,0.78890927,0.013148488,1110.445078,0.009446664,0.000157444,285.4911718,5.133958333
FCR,2014,2014-03-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,6.964166667
FCR,2014,2014-03-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,7.442291667
FCR,2014,2014-03-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,8.473229167
FCR,2014,2014-03-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,6.940729167
FCR,2014,2014-03-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,5.265520833
FCR,2014,2014-03-25 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,3.827708333
FCR,2014,2014-03-26 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,3.46
FCR,2014,2014-03-27 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,4.610625
FCR,2014,2014-03-28 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,6.935729167
FCR,2014,2014-03-29 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,8.6478125
FCR,2014,2014-03-30 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,6.305104167
FCR,2014,2014-03-31 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,7.548125
FCR,2014,2014-04-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,9.729166667
FCR,2014,2014-04-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,11.60125
