Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
BVR,2014,2014-07-16 12:00:00,8,2211,857.5,<5,5432,21.64,<0,0.85,1548,1928,<1,<1,<1,970.5,1441,1.71,<1,<1,<5,<0.5,<2.5,12.67,<0.1,<1,<1,<1,54.81,0.04,<1,<1,2211,857,<5,5431,21.64,<0,0.85,1548,1928,<1,<1,<1,970.5,1441,1.71,<1,<1,<5,<0.5,<2.5,12.67,<0.1,<1,<1,<1,54.81,0.04,<1,<1
BVR,2014,2014-07-16 12:00:00,12,2267,923.6,15.08,5881,25.05,<0,0.91,1743,2364,<1,<1,<1,26020,2549,3.34,<1,<1,<5,<0.5,<2.5,15.68,<0.1,<1,<1,<1,94.27,0.28,<1,<1,2238,920.5,14.73,5881,25.05,<0,0.91,1743,2316,<1,<1,<1,24400,2475,3.27,<1,<1,<5,<0.5,<2.5,15.36,<0.1,<1,<1,<1,91.4,0.22,<1,<1
BVR,2014,2014-07-23 12:00:00,0.1,2038,721.5,12.1,5117,<10,<0,<0,1305,1453,<1,<1,<1,447.8,26.7,<1,<1,<1,<5,<0.5,<2.5,10.3,<0.1,<1,<1,<1,17.1,0.1,<1,<1,2038,721.5,12.1,5117,<10,<0,<0,1305,1453,<1,<1,<1,447.8,26.7,<1,<1,<1,<5,<0.5,<2.5,10.3,<0.1,<1,<1,<1,17.1,,<1,<1
BVR,2014,2014-07-23 12:00:00,4,1938,769.4,7.7,4889,<10,<0,<0,1299,1710,<1,<1,<1,399.1,151.3,<1,<1,<1,<5,<0.5,<2.5,12,<0.1,<1,<1,<1,24,0.1,<1,<1,1938,769.4,7.7,4889,<10,<0,<0,1299,1710,<1,<1,<1,399.1,151.3,<1,<1,<1,<5,<0.5,<2.5,12,<0.1,<1,<1,<1,24,,<1,<1
BVR,2014,2014-07-23 12:00:00,8,1938,761.7,<5,4846,25.6,<0,<0,1358,1755,<1,<1,<1,482.4,1192,1.3,<1,<1,<5,<0.5,<2.5,11.9,<0.1,<1,<1,<1,51.1,0,<1,<1,1938,761.7,<5,4846,25.6,<0,<0,1358,1755,<1,<1,<1,482.4,1192,1.3,<1,<1,<5,<0.5,<2.5,11.9,<0.1,<1,<1,<1,51.1,,<1,<1
BVR,2014,2014-07-30 12:00:00,0.1,1809,647.7,12.3,4908,<10,<0,0.13,1182,1352,<1,<1,<1,412,23.81,<1,<1,<1,<5,<0.5,<2.5,9.45,<0.1,<1,<1,<1,16.86,0.04,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-30 12:00:00,4,1745,700.7,8.48,4642,<10,<0,0.12,1246,1677,<1,<1,<1,497.7,215.9,<1,<1,<1,<5,<0.5,<2.5,11.43,<0.1,<1,<1,<1,28.3,0.03,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-30 12:00:00,8,1765,707.5,5.57,4882,19.77,<0,0.14,1299,1753,<1,<1,<1,4569,1904,2.63,<1,<1,<5,<0.5,<2.5,11.76,<0.1,<1,<1,<1,58.22,0,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-30 12:00:00,12,1780,718.8,14.64,5183,19.52,<0,0.16,1384,1976,<1,<1,<1,20230,2142,2.67,<1,<1,219.5,<0.5,<2.5,13.54,0.18,<1,<1,<1,77.5,1.4,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-08-13 12:00:00,0.1,2178,776.6,16.55,5377,<10,<0,1.11,1343,1554,<1,<1,<1,459.6,38.29,<1,<1,<1,<5,<0.5,<2.5,10.82,<0.1,<1,<1,<1,20.69,0.11,<1,<1,2169,769.3,16.55,5299,<10,<0,1.11,1343,1554,<1,<1,<1,425.7,38.29,<1,<1,<1,<5,<0.5,<2.5,10.81,<0.1,<1,<1,<1,20.69,0.11,<1,<1
